date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:17:36	1090/1090	---M-Z	200	added ('OK')	text/html	etag:%22442-57e94324d2980-gzip%22	https://www3.nd.edu/~jquigle2/GSTS.html	www3.nd.edu/_jquigle2/GSTS.html	(from )
08:17:38	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:17:37%20GMT	https://www3.nd.edu/robots.txt		(from )
08:17:38	3080/3080	---M-Z	200	added ('OK')	text/html	etag:%22c08-586ba7cf9166e-gzip%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html	www3.nd.edu/_jquigle2/GSTS%20SP19/GSTS%20SP19.html	(from https://www3.nd.edu/~jquigle2/GSTS.html)
08:17:39	3144/3144	---M-Z	200	added ('OK')	text/html	etag:%22c48-57cece48071be-gzip%22	https://www3.nd.edu/~jquigle2/GSTS%20FA18/GSTS%20FA18.html	www3.nd.edu/_jquigle2/GSTS%20FA18/GSTS%20FA18.html	(from https://www3.nd.edu/~jquigle2/GSTS.html)
08:17:40	2933/2933	---M-Z	200	added ('OK')	text/html	etag:%22b75-56b24ae619a08-gzip%22	https://www3.nd.edu/~jquigle2/GSTS%20SP18/GSTS%20SP18.html	www3.nd.edu/_jquigle2/GSTS%20SP18/GSTS%20SP18.html	(from https://www3.nd.edu/~jquigle2/GSTS.html)
08:17:41	3081/3081	---M-Z	200	added ('OK')	text/html	etag:%22c09-56056cdffa379-gzip%22	https://www3.nd.edu/~jquigle2/GSTS%20FA17/GSTS%20FA17.html	www3.nd.edu/_jquigle2/GSTS%20FA17/GSTS%20FA17.html	(from https://www3.nd.edu/~jquigle2/GSTS.html)
08:17:42	2577/2577	---M-Z	200	added ('OK')	text/html	etag:%22a11-557ad485e4f5e-gzip%22	https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html	www3.nd.edu/_jquigle2/GSTS%20SP17/GSTS%20SP17.html	(from https://www3.nd.edu/~jquigle2/GSTS.html)
08:17:43	2781/2781	---M-Z	200	added ('OK')	text/html	etag:%22add-56b03d0a19eeb-gzip%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html	www3.nd.edu/_jquigle2/GSTS%20FA16/GSTS%20FA16.html	(from https://www3.nd.edu/~jquigle2/GSTS.html)
08:17:45	109163/109163	---M--	200	added ('OK')	application/pdf	etag:%221aa6b-57f4c518467bc%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/FCseminar.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/FCseminar.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:46	197684/197684	---M--	200	added ('OK')	application/pdf	etag:%2230434-58033da22dd4f%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week1.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week1.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:47	98745/98745	---M--	200	added ('OK')	application/pdf	etag:%22181b9-580288016d9b1%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week1P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week1P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:48	189739/189739	---M--	200	added ('OK')	application/pdf	etag:%222e52b-5811687ce41eb%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week2.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week2.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:49	201880/201880	---M--	200	added ('OK')	application/pdf	etag:%2231498-5813ed2aafe27%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week3.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week3.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:50	115056/115056	---M--	200	added ('OK')	application/pdf	etag:%221c170-5813ed2aa8423%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week3P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week3P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:51	168580/168580	---M--	200	added ('OK')	application/pdf	etag:%2229284-581c9268ac9c0%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week4.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week4.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:51	71298/71298	---M--	200	added ('OK')	application/pdf	etag:%2211682-581cb59671b4d%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week4P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week4P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:52	227/227	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:17:52%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week5.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week5.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:55	695893/695893	---M--	200	added ('OK')	application/pdf	etag:%22a9e55-58385960e8b21%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week7P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week7P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:57	105489/105489	---M--	200	added ('OK')	application/pdf	etag:%2219c11-58492899024d2%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week8P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week8P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:17:58	93597/93597	---M--	200	added ('OK')	application/pdf	etag:%2216d9d-58528c6f4a951%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week9P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week9P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:03	4407967/4407967	---M--	200	added ('OK')	application/pdf	etag:%2243429f-58374a62cc79d%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week7.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week7.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:05	125701/125701	---M--	200	added ('OK')	application/pdf	etag:%221eb05-585d94676093f%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week10P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week10P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:05	228/228	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:18:05%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week11.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week11.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:07	145993/145993	---M--	200	added ('OK')	application/pdf	etag:%2223a49-586ba849c7919%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week11P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week11P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:09	140693/140693	---M--	200	added ('OK')	application/pdf	etag:%2222595-586be7572a21d%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week12.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week12.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:09	4167373/4167373	---M--	200	added ('OK')	application/pdf	etag:%223f96cd-58528c6e19149%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week8.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week8.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:09	2857647/2857647	---M--	200	added ('OK')	application/pdf	etag:%222b9aaf-58528c7033aaf%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week9.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week9.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:09	229/229	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:18:09%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week12P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week12P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:11	213215/213215	---M--	200	added ('OK')	application/pdf	etag:%22340df-5875ae5b592f0%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week13.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week13.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
08:18:12	97590/97590	---M--	200	added ('OK')	application/pdf	etag:%2217d36-5875ae5b4dbf4%22	https://www3.nd.edu/~jquigle2/GSTS%20SP19/Week13P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP19/Week13P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP19/GSTS%20SP19.html)
